la_code,name,UTLA,UTLA_name,DOM_abuse,DOM_dys,DOM_context,ACE_mean_rank,ACE_rank
E09000017,Hillingdon,E09000017,Hillingdon,-0.092,0.617,-0.114,196,210.5
E09000018,Hounslow,E09000018,Hounslow,0.017,0.214,-0.217,177.67,183
E06000046,Isle of Wight,E06000046,Isle of Wight,1.721,0.352,0.545,282.67,302.5
E09000019,Islington,E09000019,Islington,0.681,1.367,0.636,295.67,313
E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,-0.489,0.627,0.612,219,236
E07000105,Ashford,E10000016,Kent,-0.649,0.361,-0.156,146,147.5
E07000106,Canterbury,E10000016,Kent,-0.369,0.491,0.219,203,219
E07000107,Dartford,E10000016,Kent,-0.509,0.837,0.15,201.67,218
E07000108,Dover,E10000016,Kent,-0.039,0.626,0.067,219.67,237
E07000109,Gravesham,E10000016,Kent,-0.451,0.704,0.253,210,229
E07000110,Maidstone,E10000016,Kent,-0.692,0.353,-0.132,144.33,144.5
E07000111,Sevenoaks,E10000016,Kent,-0.975,-0.085,-0.432,77,54
E07000112,Shepway,E10000016,Kent,-0.207,0.473,0.608,230,244
E07000113,Swale,E10000016,Kent,-0.204,0.781,0.315,231.33,246.5
E07000114,Thanet,E10000016,Kent,0.404,1.298,0.719,286.67,305
E07000115,Tonbridge and Malling,E10000016,Kent,-0.831,0.265,-0.147,134,127.5
E07000116,Tunbridge Wells,E10000016,Kent,-0.96,0.034,-0.084,122,110
E06000010,"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",1.486,0.622,0.744,298.67,315
E09000021,Kingston upon Thames,E09000021,Kingston upon Thames,-0.443,-0.496,-0.46,75,51
E08000034,Kirklees,E08000034,Kirklees,0.125,0.027,-0.147,179.67,184
E08000011,Knowsley,E08000011,Knowsley,0.591,2.167,0.184,274.33,297
E09000022,Lambeth,E09000022,Lambeth,0.661,1.551,0.585,296.33,314
E07000117,Burnley,E10000017,Lancashire,1.594,0.125,0.125,248.33,267
E07000118,Chorley,E10000017,Lancashire,-0.038,-0.427,-0.128,143.33,141.5
E07000119,Fylde,E10000017,Lancashire,-0.322,-0.48,-0.149,116.33,105
E07000120,Hyndburn,E10000017,Lancashire,0.957,0.125,0.29,250.67,271
E07000121,Lancaster,E10000017,Lancashire,0.246,-0.336,0.238,201,217
E07000122,Pendle,E10000017,Lancashire,0.074,-0.304,0.013,175.33,179
E07000123,Preston,E10000017,Lancashire,0.889,0.039,0.538,254.33,277
E07000124,Ribble Valley,E10000017,Lancashire,-0.598,-0.591,-0.329,73.67,49
E07000125,Rossendale,E10000017,Lancashire,0.176,-0.277,-0.381,140,136
E07000126,South Ribble,E10000017,Lancashire,-0.114,-0.402,-0.284,122.67,111
E07000127,West Lancashire,E10000017,Lancashire,-0.106,-0.402,-0.238,129,116
E07000128,Wyre,E10000017,Lancashire,0.159,-0.571,-0.267,132,123
E08000035,Leeds,E08000035,Leeds,-0.236,-0.572,0.219,150,152
E06000016,Leicester,E06000016,Leicester,0.528,0.484,0.038,239,253.5
E07000129,Blaby,E10000018,Leicestershire,-1.082,-0.464,-0.307,66.67,33.5
E07000130,Charnwood,E10000018,Leicestershire,-1.001,-0.44,-0.648,40.33,18
E07000131,Harborough,E10000018,Leicestershire,-1.216,-0.724,-0.454,35,13
E07000132,Hinckley and Bosworth,E10000018,Leicestershire,-1.025,-0.47,-0.654,38,16
E07000133,Melton,E10000018,Leicestershire,-1.089,-0.559,-0.327,57.33,25.5
E07000134,North West Leicestershire,E10000018,Leicestershire,-0.913,-0.42,-0.434,57.33,25.5
E07000135,Oadby and Wigston,E10000018,Leicestershire,-1.091,-0.605,-0.216,66,32
E09000023,Lewisham,E09000023,Lewisham,0.6,0.74,0.037,251.67,273
E07000136,Boston,E10000019,Lincolnshire,-0.015,-0.341,0.423,194,205.5
E07000137,East Lindsey,E10000019,Lincolnshire,0.071,-0.606,0.097,160.33,161
E07000138,Lincoln,E10000019,Lincolnshire,0.506,0.101,0.698,251.33,272
E07000139,North Kesteven,E10000019,Lincolnshire,-0.873,-0.919,-0.671,20.33,4
E07000140,South Holland,E10000019,Lincolnshire,-0.576,-0.792,-0.154,84.67,59
E07000141,South Kesteven,E10000019,Lincolnshire,-0.693,-0.678,-0.623,38.33,17
E07000142,West Lindsey,E10000019,Lincolnshire,-0.68,-0.759,-0.352,59.33,27
E08000012,Liverpool,E08000012,Liverpool,0.522,1.466,0.622,290.33,310
E06000032,Luton,E06000032,Luton,-0.087,0.34,-0.208,176.33,180.5
E08000003,Manchester,E08000003,Manchester,1.41,1.356,0.441,301.67,318
E06000035,Medway,E06000035,Medway,1.015,-0.49,0.196,205.33,224.5
E09000024,Merton,E09000024,Merton,-0.313,0.362,-0.32,149.67,151
E06000002,Middlesbrough,E06000002,Middlesbrough,1.875,2.828,1.066,322.33,324
E06000042,Milton Keynes,E06000042,Milton Keynes,-1.042,-0.029,-0.213,103.67,83
E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,1.299,0.578,0.496,287.33,306.5
E09000025,Newham,E09000025,Newham,0.056,1.402,-0.034,231,245
E07000143,Breckland,E10000020,Norfolk,-0.235,0.074,-0.34,136.33,133
E07000144,Broadland,E10000020,Norfolk,-0.679,-0.201,-0.096,117.33,108
E07000145,Great Yarmouth,E10000020,Norfolk,0.616,0.796,0.823,290.33,310
E07000146,King's Lynn and West Norfolk,E10000020,Norfolk,-0.018,0.141,0.016,196,210.5
E07000147,North Norfolk,E10000020,Norfolk,-0.298,-0.206,-0.07,143.67,143
E07000148,Norwich,E10000020,Norfolk,1.295,1.511,1.359,316.33,322
E07000149,South Norfolk,E10000020,Norfolk,-0.658,-0.157,-0.383,92.33,69.5
E06000012,North East Lincolnshire,E06000012,North East Lincolnshire,2.228,0.245,0.262,267,288
E06000013,North Lincolnshire,E06000013,North Lincolnshire,-0.194,-0.173,-0.284,132.67,124
E06000024,North Somerset,E06000024,North Somerset,-0.563,0.045,-0.198,131.33,121
E08000022,North Tyneside,E08000022,North Tyneside,0.086,0.543,0.178,231.67,248
E07000163,Craven,E10000023,North Yorkshire,-0.452,-1.045,-0.313,68.67,38
E07000164,Hambleton,E10000023,North Yorkshire,-0.408,-1.156,-0.313,69.33,39
E07000165,Harrogate,E10000023,North Yorkshire,-0.576,-1.005,-0.214,73.33,48
E07000166,Richmondshire,E10000023,North Yorkshire,-0.268,-0.989,-0.401,72.33,45
E07000167,Ryedale,E10000023,North Yorkshire,-0.593,-1.193,0.011,91,68
E07000168,Scarborough,E10000023,North Yorkshire,0.111,-0.832,0.172,159.33,158.5
E07000169,Selby,E10000023,North Yorkshire,-0.283,-1.125,-0.508,57,24
E07000150,Corby,E10000021,Northamptonshire,0.524,0.406,0.724,269.67,294
E07000151,Daventry,E10000021,Northamptonshire,-0.406,-0.433,-0.614,72,43.5
E07000152,East Northamptonshire,E10000021,Northamptonshire,-0.497,-0.452,-0.325,87.33,63.5
E07000153,Kettering,E10000021,Northamptonshire,0.024,-0.133,0.089,187.67,193
E07000154,Northampton,E10000021,Northamptonshire,0.542,0.421,0.443,262,285
E07000155,South Northamptonshire,E10000021,Northamptonshire,-0.635,-0.623,-0.574,47,20
E07000156,Wellingborough,E10000021,Northamptonshire,0.177,0.122,0.212,220.67,238
E06000057,Northumberland,E06000057,Northumberland,0.591,0.649,-0.019,241,257
E06000018,Nottingham,E06000018,Nottingham,1.788,1.023,0.74,310.67,320
E07000170,Ashfield,E10000024,Nottinghamshire,-0.112,0.73,-0.215,189,198
E07000171,Bassetlaw,E10000024,Nottinghamshire,-0.446,0.319,0.357,199,216
E07000172,Broxtowe,E10000024,Nottinghamshire,-0.784,0.018,-0.564,80,58
E07000173,Gedling,E10000024,Nottinghamshire,-0.664,0.368,-0.493,111,93.5
E07000174,Mansfield,E10000024,Nottinghamshire,0.236,0.978,0.384,267.67,289
E07000175,Newark and Sherwood,E10000024,Nottinghamshire,-0.42,0.341,-0.423,130.67,117.5
E07000176,Rushcliffe,E10000024,Nottinghamshire,-0.918,-0.143,-0.533,68.33,37
E08000004,Oldham,E08000004,Oldham,0.321,0.047,0.001,206.67,226
E07000177,Cherwell,E10000025,Oxfordshire,0.001,-0.087,-0.056,175,177.5
E07000178,Oxford,E10000025,Oxfordshire,0.512,0.623,0.091,246.33,261
E07000179,South Oxfordshire,E10000025,Oxfordshire,-0.511,-0.448,-0.547,66.67,33.5
E07000180,Vale of White Horse,E10000025,Oxfordshire,-0.43,-0.391,-0.546,79.67,56.5
E07000181,West Oxfordshire,E10000025,Oxfordshire,-0.355,-0.351,-0.32,105,85
E06000031,Peterborough,E06000031,Peterborough,0.74,0.276,0.25,253.67,275
E06000026,Plymouth,E06000026,Plymouth,1.492,-0.311,0.376,236.67,251.5
E06000029,Poole,E06000029,Poole,-0.264,0.785,-0.369,165,166
E06000044,Portsmouth,E06000044,Portsmouth,1.096,-0.047,1.043,261.33,283
E06000038,Reading,E06000038,Reading,1.271,0.158,0.036,240.67,255.5
E09000026,Redbridge,E09000026,Redbridge,-0.017,-0.162,-0.411,131,119.5
E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,0.574,1.941,-0.084,248.67,268
E09000027,Richmond upon Thames,E09000027,Richmond upon Thames,-0.895,-0.543,-0.736,34.33,12
E08000005,Rochdale,E08000005,Rochdale,0.762,0.841,0.165,269.33,292.5
E08000018,Rotherham,E08000018,Rotherham,0.874,0.037,0.382,247.33,265.5
E06000017,Rutland,E06000017,Rutland,-0.726,-0.429,-0.929,47.33,21
E08000006,Salford,E08000006,Salford,1.403,0.988,0.336,292.67,312
E08000028,Sandwell,E08000028,Sandwell,1.085,-0.016,-0.165,203.33,220
E08000014,Sefton,E08000014,Sefton,-0.167,1.797,0.322,247,263.5
E08000019,Sheffield,E08000019,Sheffield,-0.075,-0.011,-0.031,176.33,180.5
E06000051,Shropshire,E06000051,Shropshire,0.034,-0.997,-0.309,104.67,84
E06000039,Slough,E06000039,Slough,0.125,0.2,-0.008,205.33,224.5
E08000029,Solihull,E08000029,Solihull,-0.106,1.031,-0.294,189.33,199
E07000187,Mendip,E10000027,Somerset,-0.008,-0.784,-0.044,134.33,129
E07000188,Sedgemoor,E10000027,Somerset,0.169,-0.84,-0.04,143.33,141.5
E07000189,South Somerset,E10000027,Somerset,0.057,-0.916,-0.275,111.33,96.5
E07000190,Taunton Deane,E10000027,Somerset,-0.021,-0.776,0.14,151,153
E07000191,West Somerset,E10000027,Somerset,-0.113,-1.087,0.118,130.67,117.5
E06000025,South Gloucestershire,E06000025,South Gloucestershire,-0.574,-0.193,-0.555,79.67,56.5
E08000023,South Tyneside,E08000023,South Tyneside,1.188,1.377,0.084,275.67,299
E06000045,Southampton,E06000045,Southampton,1.095,-0.193,0.952,252,274
E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,0.392,-0.39,0.29,204,222
E09000028,Southwark,E09000028,Southwark,0.621,1.197,0.396,283.67,304
E08000013,St. Helens,E08000013,St. Helens,0.996,-0.2,0.712,246.67,262
E07000192,Cannock Chase,E10000028,Staffordshire,-0.106,0.815,-0.314,182.67,188
E07000193,East Staffordshire,E10000028,Staffordshire,-0.27,0.722,-0.112,188.67,197
E07000194,Lichfield,E10000028,Staffordshire,-0.47,0.349,-0.336,136.33,133
E07000195,Newcastle-under-Lyme,E10000028,Staffordshire,0.223,1.136,-0.038,236.67,251.5
E07000196,South Staffordshire,E10000028,Staffordshire,-0.803,0.1,-0.302,111,93.5
E07000197,Stafford,E10000028,Staffordshire,-0.452,0.541,0.526,213.33,232
E07000198,Staffordshire Moorlands,E10000028,Staffordshire,-0.368,0.441,-0.388,141.67,139
E07000199,Tamworth,E10000028,Staffordshire,0.475,1.757,0.222,272.67,296
E08000007,Stockport,E08000007,Stockport,-0.065,0.767,-0.124,203.67,221
E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,1.244,0.668,0.038,263.33,286
E06000021,Stoke-on-Trent,E06000021,Stoke-on-Trent,1.148,2.045,0.468,304,319
E07000200,Babergh,E10000029,Suffolk,-0.668,-0.765,-0.267,71,41
E07000201,Forest Heath,E10000029,Suffolk,-0.635,-0.515,-0.076,103,82
E07000202,Ipswich,E10000029,Suffolk,0.627,0.191,0.48,257.33,279.5
E07000203,Mid Suffolk,E10000029,Suffolk,-0.615,-0.765,-0.33,65.33,31
E07000204,St Edmundsbury,E10000029,Suffolk,-0.48,-0.525,-0.52,67.67,36
E07000205,Suffolk Coastal,E10000029,Suffolk,-0.614,-0.744,-0.526,50,22
E07000206,Waveney,E10000029,Suffolk,0.095,-0.4,0.216,185.33,190
E08000024,Sunderland,E08000024,Sunderland,1.409,1.318,0.215,287.33,306.5
E07000207,Elmbridge,E10000030,Surrey,-0.617,-0.439,-0.428,70,40
E07000208,Epsom and Ewell,E10000030,Surrey,-0.473,-0.31,-0.319,102.33,80
E07000209,Guildford,E10000030,Surrey,-0.324,-0.45,-0.319,100,76
E07000210,Mole Valley,E10000030,Surrey,-0.572,-0.578,-0.362,73,46.5
E07000211,Reigate and Banstead,E10000030,Surrey,-0.314,-0.323,-0.271,116.33,105
E07000212,Runnymede,E10000030,Surrey,-0.001,-0.119,0.113,188.33,195.5
